????/s,??????????????????/V,????????/rad,,????????/Hz,????????
0.0503,60.55848255,-0.317841853,,,
0.0504,60.55475117,-0.318615256,,,
0.0505,60.55100291,-0.319420218,,,
0.0506,60.54731514,-0.320228797,,,
0.0507,60.54394089,-0.320989362,,,
0.0508,60.54121278,-0.321657328,,,
0.0509,60.53936501,-0.322232326,,,
0.051,60.53838968,-0.322772318,,,
0.0511,60.53802962,-0.323366237,,,
0.0512,60.53792421,-0.324075215,,,
0.0513,60.53782206,-0.324879139,,,
0.0514,60.5377252,-0.325668729,,,
0.0515,60.53786903,-0.326296822,,,
0.0516,60.53854882,-0.326662139,,,
0.0517,60.53990576,-0.326772723,,,
0.0518,60.54181491,-0.326744587,,,
0.0519,60.54395197,-0.326731475,,,
0.052,60.54599646,-0.326829276,,,
0.0521,60.54783607,-0.327020529,,,
0.0522,60.54963218,-0.327201347,,,
0.0523,60.55169678,-0.327277236,,,
0.0524,60.55425783,-0.327263185,,,
0.0525,60.55726798,-0.32731395,,,
0.0526,60.56038845,-0.327652292,,,
0.0527,60.56316792,-0.328431566,,,
0.0528,60.56530888,-0.329619308,,,
0.0529,60.56685334,-0.330983247,,,
0.053,60.56816834,-0.33219942,,,
0.0531,60.56973826,-0.333023098,,,
0.0532,60.57189359,-0.333419857,,,
0.0533,60.57464431,-0.333575714,,,
0.0534,60.57771509,-0.333779288,,,
0.0535,60.58075588,-0.334249599,,,
0.0536,60.58357738,-0.335018251,,,
0.0537,60.58626522,-0.335939359,,,
0.0538,60.58910101,-0.336816439,,,
0.0539,60.59234848,-0.337558169,,,
0.054,60.5960505,-0.338255755,,,
0.0541,60.59997195,-0.339126301,,,
0.0542,60.60372604,-0.340355774,,,
0.0543,60.60700208,-0.341943726,,,
0.0544,60.60974928,-0.343654593,,,
0.0545,60.6122022,-0.345114386,,,
0.0546,60.61473695,-0.345999696,,,
0.0547,60.61765287,-0.346207183,,,
0.0548,60.62101491,-0.345903233,,,
0.0549,60.62464513,-0.345427404,,,
0.055,60.6282531,-0.345112367,,,
0.0551,60.63161034,-0.345130796,,,
0.0552,60.6346569,-0.345456636,,,
0.0553,60.63748625,-0.345951669,,,
0.0554,60.64022742,-0.346508971,,,
0.0555,60.64292429,-0.347153084,,,
0.0556,60.64548901,-0.348030585,,,
0.0557,60.64775541,-0.349300158,,,
0.0558,60.64958751,-0.350998038,,,
0.0559,60.65096587,-0.352970076,,,
0.056,60.65199631,-0.354917962,,,
0.0561,60.65284252,-0.356534417,,,
0.0562,60.65363381,-0.357646997,,,
0.0563,60.65440877,-0.358286426,,,
0.0564,60.65512301,-0.358644069,,,
0.0565,60.65570176,-0.3589517,,,
0.0566,60.65609176,-0.359360515,,,
0.0567,60.65627684,-0.35988909,,,
0.0568,60.65625603,-0.360460395,,,
0.0569,60.65601404,-0.360990808,,,
0.057,60.65551636,-0.361465633,,,
0.0571,60.65473605,-0.361951425,,,
0.0572,60.65368824,-0.362542182,,,
0.0573,60.65243765,-0.363281353,,,
0.0574,60.65106402,-0.36411548,,,
0.0575,60.64960516,-0.364911403,,,
0.0576,60.64801933,-0.36552576,,,
0.0577,60.64619975,-0.365882146,,,
0.0578,60.64403706,-0.366008444,,,
0.0579,60.64148927,-0.366014714,,,
0.058,60.6386093,-0.366030501,,,
0.0581,60.63550887,-0.366143285,,,
0.0582,60.63228327,-0.36637349,,,
0.0583,60.62895181,-0.366693429,,,
0.0584,60.62546121,-0.367068716,,,
0.0585,60.62175355,-0.367489877,,,
0.0586,60.61784603,-0.367974014,,,
0.0587,60.61386702,-0.368540639,,,
0.0588,60.61000955,-0.36918414,,,
0.0589,60.60642662,-0.36986551,,,
0.059,60.60313652,-0.370529738,,,
0.0591,60.60000487,-0.371135892,,,
0.0592,60.59682156,-0.371678323,,,
0.0593,60.59342613,-0.372185091,,,
0.0594,60.58980078,-0.372696778,,,
0.0595,60.58607016,-0.373242099,,,
0.0596,60.58241115,-0.373826559,,,
0.0597,60.5789382,-0.374438397,,,
0.0598,60.57564715,-0.375062578,,,
0.0599,60.57245732,-0.37568934,,,
0.06,60.56932549,-0.37631113,,,
0.0601,60.56633853,-0.376913842,,,
0.0602,60.56371391,-0.377474302,,,
0.0603,60.56169424,-0.377970411,,,
0.0604,60.56039895,-0.378397704,,,
0.0605,60.55973471,-0.378777405,,,
0.0606,60.55943249,-0.379144827,,,
0.0607,60.55919544,-0.379522132,,,
0.0608,60.55886508,-0.379894622,,,
0.0609,60.55849532,-0.380211509,,,
0.061,60.55828318,-0.380416529,,,
0.0611,60.55840091,-0.380490879,,,
0.0612,60.55884403,-0.380478259,,,
0.0613,60.55940168,-0.380470558,,,
0.0614,60.55977442,-0.380559679,,,
0.0615,60.55976236,-0.380787902,,,
0.0616,60.55939355,-0.381135047,,,
0.0617,60.55889856,-0.381557276,,,
0.0618,60.55854001,-0.382053903,,,
0.0619,60.55840777,-0.382712643,,,
0.062,60.55832115,-0.383691511,,,
0.0621,60.55791464,-0.385135813,,,
0.0622,60.55686386,-0.387076582,,,
0.0623,60.55511209,-0.389377982,,,
0.0624,60.55295045,-0.391776507,,,
0.0625,60.55089477,-0.393997091,,,
0.0626,60.5494324,-0.395879197,,,
0.0627,60.54879593,-0.397435481,,,
0.0628,60.54890342,-0.398805582,,,
0.0629,60.54949619,-0.400134166,,,
0.063,60.55037687,-0.401453409,,,
0.0631,60.55158589,-0.402649968,,,
0.0632,60.55339614,-0.403541715,,,
0.0633,60.55612753,-0.404014903,,,
0.0634,60.55990357,-0.404128393,,,
0.0635,60.56451287,-0.404108867,,,
0.0636,60.56947208,-0.404230438,,,
0.0637,60.5742576,-0.404650028,,,
0.0638,60.57856253,-0.405304621,,,
0.0639,60.58242931,-0.405941831,,,
0.064,60.58616381,-0.406271643,,,
0.0641,60.59010585,-0.406148927,,,
0.0642,60.5943964,-0.405674708,,,
0.0643,60.59888566,-0.405153417,,,
0.0644,60.60323073,-0.404932521,,,
0.0645,60.60710972,-0.405223826,,,
0.0646,60.61040991,-0.406015112,,,
0.0647,60.61327249,-0.407120723,,,
0.0648,60.61597508,-0.408329832,,,
0.0649,60.61873851,-0.409550167,,,
0.065,60.62158802,-0.410851635,,,
0.0651,60.62435514,-0.412382768,,,
0.0652,60.62681083,-0.414218092,,,
0.0653,60.62883568,-0.416240729,,,
0.0654,60.63051483,-0.418142655,,,
0.0655,60.63209961,-0.419550043,,,
0.0656,60.63387034,-0.420201817,,,
0.0657,60.63598583,-0.420075982,,,
0.0658,60.63841571,-0.419390904,,,
